Id; Label
КСРФ/525-О/2005;"КСРФ/525-О/2005"
КСРФ/1976-О/2015;"КСРФ/1976-О/2015"
КСРФ/678-О-О/2009;"КСРФ/678-О-О/2009"
КСРФ/ПР-3/2016/239488-DUP;"КСРФ/ПР-3/2016/239488-DUP"
КСРФ/2927-О/2015;"КСРФ/2927-О/2015"
КСРФ/297-О-О/2007;"КСРФ/297-О-О/2007"
КСРФ/10-П/2003;"КСРФ/10-П/2003"
КСРФ/970-О/2015;"КСРФ/970-О/2015"
КСРФ/2292-О/2017;"КСРФ/2292-О/2017"
КСРФ/1799-О/2016;"КСРФ/1799-О/2016"
КСРФ/679-О/2017;"КСРФ/679-О/2017"
КСРФ/1908-О/2018;"КСРФ/1908-О/2018"
КСРФ/1709-О/2016;"КСРФ/1709-О/2016"
КСРФ/2015-О-Р/2016;"КСРФ/2015-О-Р/2016"
КСРФ/712-О-П/2010;"КСРФ/712-О-П/2010"
КСРФ/444-О-О/2010;"КСРФ/444-О-О/2010"
КСРФ/34-О/2005;"КСРФ/34-О/2005"
КСРФ/298-О/2004;"КСРФ/298-О/2004"
КСРФ/1402-О-О/2010;"КСРФ/1402-О-О/2010"
КСРФ/248-О/2005;"КСРФ/248-О/2005"
КСРФ/338-О-О/2009;"КСРФ/338-О-О/2009"
КСРФ/201-О-П/2008;"КСРФ/201-О-П/2008"
КСРФ/5-П/2006;"КСРФ/5-П/2006"
КСРФ/2875-О/2014;"КСРФ/2875-О/2014"
КСРФ/334-О-О/2011;"КСРФ/334-О-О/2011"
КСРФ/859-О/2012;"КСРФ/859-О/2012"
КСРФ/1066-О/2018;"КСРФ/1066-О/2018"
КСРФ/1159-О-О/2010;"КСРФ/1159-О-О/2010"
КСРФ/1169-О-Р/2010;"КСРФ/1169-О-Р/2010"
КСРФ/2624-О/2017;"КСРФ/2624-О/2017"
КСРФ/1081-О/2018;"КСРФ/1081-О/2018"
КСРФ/325-О-О/2012;"КСРФ/325-О-О/2012"
КСРФ/1618-О/2014;"КСРФ/1618-О/2014"
КСРФ/131-О-О/2010;"КСРФ/131-О-О/2010"
КСРФ/316-О-О/2009;"КСРФ/316-О-О/2009"
КСРФ/1839-О/2013;"КСРФ/1839-О/2013"
КСРФ/7-О/2015;"КСРФ/7-О/2015"
КСРФ/339-О-О/2012;"КСРФ/339-О-О/2012"
КСРФ/1120-О/2014;"КСРФ/1120-О/2014"
КСРФ/634-О-О/2007;"КСРФ/634-О-О/2007"
КСРФ/1329-О/2017;"КСРФ/1329-О/2017"
КСРФ/1745-О/2015;"КСРФ/1745-О/2015"
КСРФ/1590-О-О/2010;"КСРФ/1590-О-О/2010"
КСРФ/305-О/2015;"КСРФ/305-О/2015"
КСРФ/783-О-О/2009;"КСРФ/783-О-О/2009"
КСРФ/1576-О/2018;"КСРФ/1576-О/2018"
КСРФ/363-О/2014;"КСРФ/363-О/2014"
КСРФ/18-О/2016;"КСРФ/18-О/2016"
КСРФ/1701-О/2016;"КСРФ/1701-О/2016"
КСРФ/1674-О/2012;"КСРФ/1674-О/2012"
КСРФ/316-О/2006;"КСРФ/316-О/2006"
КСРФ/863-О-О/2008;"КСРФ/863-О-О/2008"
КСРФ/1126-О/2016;"КСРФ/1126-О/2016"
КСРФ/273-О/2014;"КСРФ/273-О/2014"
КСРФ/675-О-Р/2010;"КСРФ/675-О-Р/2010"
КСРФ/226-О/1999;"КСРФ/226-О/1999"
КСРФ/566-О/2014;"КСРФ/566-О/2014"
КСРФ/467-О/2005;"КСРФ/467-О/2005"
КСРФ/19-П/1997;"КСРФ/19-П/1997"
КСРФ/241-О/2013;"КСРФ/241-О/2013"
КСРФ/188-О/2018;"КСРФ/188-О/2018"
